ST,AGEP,COW,SCHL,SEX,WKHP,YOEP,ANC1P,DECADE,INDP,PINCP,POBP,RAC2P
6,56,7,19,2,45,1982,750,5,8790,36000,217,49
6,55,1,21,2,40,1988,750,5,8190,80000,217,49
6,55,1,20,1,40,1985,750,5,8190,50000,217,49
6,24,3,21,2,NA,1997,750,6,9470,0,217,49
6,64,2,18,1,72,1980,750,5,9070,45200,217,49
6,60,1,21,2,72,1978,750,4,9070,45200,217,49
6,84,NA,12,2,NA,1992,750,6,NA,9300,217,49
6,62,5,19,2,20,1976,750,4,6370,30000,217,49
6,47,6,19,1,60,1984,750,5,5170,65000,217,49
6,44,6,19,2,40,1989,750,5,5170,65000,217,49
6,21,1,19,2,27,2007,750,7,7870,33600,217,49
6,20,NA,19,2,NA,2007,750,7,NA,24000,217,49
6,41,6,21,1,35,1983,750,5,7070,40000,217,49
6,42,1,18,2,37,1992,750,6,6970,36000,217,49
6,48,NA,15,1,NA,1993,750,6,NA,0,217,49
6,67,NA,15,2,NA,1993,750,6,NA,2100,217,49
6,51,1,18,1,40,1976,750,4,3390,66000,217,49
6,47,1,21,1,50,1975,750,4,3390,24000,217,49
6,46,9,21,2,NA,1974,750,4,9920,0,217,49
6,39,1,19,1,55,1975,750,4,7380,120000,217,49
6,47,1,22,1,40,1999,750,6,3095,100000,217,49
6,71,NA,1,2,NA,2004,750,7,NA,0,217,49
6,80,NA,21,2,NA,1993,750,6,NA,10000,217,49
6,31,1,22,1,40,1993,750,6,3390,36400,217,49
6,57,1,15,2,40,1979,750,4,8170,72000,217,49
6,28,1,19,1,50,1985,750,5,7380,75000,217,49
6,44,1,21,1,40,2006,750,7,3390,148000,217,49
6,43,NA,21,2,NA,2006,750,7,NA,0,217,49
6,17,NA,14,2,NA,2006,750,7,NA,0,217,49
6,11,NA,9,2,NA,2006,750,7,NA,NA,217,49
6,69,1,19,2,20,1974,750,4,7070,16800,217,49
6,76,NA,21,1,NA,1975,750,4,NA,6200,217,49
6,73,1,19,2,NA,1981,750,5,6990,7300,217,49
6,42,NA,3,2,NA,1993,750,6,NA,9400,217,49
6,36,1,19,1,45,1991,750,6,8680,70000,217,49
6,30,NA,20,2,NA,2009,750,7,NA,0,217,49
6,27,3,22,1,50,1996,750,6,7860,46000,217,49
6,30,1,21,2,50,2006,750,7,4390,50000,217,49
6,44,1,21,2,20,2002,750,7,8680,25000,217,49
